"id","codigo","descricao","nivel","valor","status","dt_cadastro","aluno_matricula"
1,1001,Musculação,Basico,185.0,Ativo,"2023-05-01",""
2,1002,Musculação,Intermediario,250.0,Ativo,"2023-05-01",""
3,1003,Musculação,Avançado,300.0,Ativo,"2023-05-01",""
4,1004,Aerobico,Basico,185.0,Ativo,"2023-05-01",""
5,1005,Aerobico,Intermediario,285.0,Ativo,"2023-05-01",""
6,1006,Aerobico,Avançado,350.0,Ativo,"2023-05-01",""
7,1007,Dança,Basico,200.0,Ativo,"2023-05-01",""
8,1008,Dança,Intermediario,300.0,Ativo,"2023-05-01",""
9,1009,Dança,Avançado,400.0,Ativo,"2023-05-01",""
10,1010,Cross Fit,Basico,500.0,Ativo,"2023-05-01",""
